Authors,Author full names,Author(s) ID,Title,Year,Source title,Cited by,DOI,Affiliations,Author Keywords,Index Keywords,Publisher,Language of Original Document,Document Type,Open Access,ISSN,EID
de Andrade A.G.; Comberlang F.C.; Peixoto R.F.; Palmeira P.H.D.S.; Aureliano F.S.; Guimarães Csordas B.; Cavalcante-Silva L.H.A.; Keesen T.S.L.,"de Andrade, Arthur Gomes (59216069500); Comberlang, Fernando Cézar (57821780200); Peixoto, Rephany Fonseca (57193664658); Palmeira, Pedro Henrique de Sousa (57226331593); Aureliano, Francisco Sandro (60005199700); Guimarães Csordas, Bárbara (60004078200); Cavalcante-Silva, Luiz Henrique Agra (60099627700); Keesen, Tatjana S.L. (24765053400)",59216069500; 57821780200; 57193664658; 57226331593; 60005199700; 60004078200; 60099627700; 24765053400,Natural and hybrid immunity: A comparative study of T cell response against SARS-CoV-2,2025,Clinical Immunology Communications,3,10.1016/j.clicom.2025.07.001,"Immunology Laboratory of Infectious Diseases, Department of Cellular and Molecular Biology, Federal University of Paraiba, Paraíba, João Pessoa, 58051-900, Brazil; Medical Sciences and Nursing Complex, Federal University of Alagoas, AL, Arapiraca, 57309-005, Brazil",Antiviral immunity; COVID-19; Cytokines; Spike protein; Vaccines,CD4 antigen; CD69 antigen; CD8 antigen; coronavac; coronavirus spike glycoprotein; gamma interferon; ibacovavec; interleukin 10; lysosome associated membrane protein 1; perforin; SARS-CoV-2 vaccine; tozinameran; tumor necrosis factor; tumor necrosis factor receptor superfamily member 9; vaxzevria; adult; antigen expression; Article; Brazil; CD4+ T lymphocyte; CD8+ T lymphocyte; cell isolation; cellular immunity; clinical article; cohort analysis; comparative study; controlled study; coronavirus disease 2019; demographics; female; flow cytometry; human; human cell; lymphocyte function; male; nonhuman; peripheral blood mononuclear cell; protein expression; Severe acute respiratory syndrome coronavirus 2; statistical analysis; T lymphocyte; T lymphocyte activation; T lymphocyte subpopulation; unvaccinated person; vaccination,Elsevier Inc.,English,Article,All Open Access; Gold Open Access; Green Open Access,27726134,2-s2.0-105011067989
da S. Azevedo M.L.; da Silva E.B.S.; dos Santos J.R.D.; Gomes K.C.; de O. Freitas J.C.; Martínez-Huitle C.A.; Morales M.A.,"da S. Azevedo, Marcondes L. (60117911000); da Silva, Evanimek B.S. (57203554326); dos Santos, Jakeline R.D. (60117673700); Gomes, Kelly C. (35796875700); de O. Freitas, Júlio C. (57212714970); Martínez-Huitle, Carlos A. (6507655813); Morales, Marco A. (7202590326)",60117911000; 57203554326; 60117673700; 35796875700; 57212714970; 6507655813; 7202590326,Iron compounds from Euterpe oleracea Mart (açai) seed ash as electrocatalyst for oxygen evolution reaction,2025,Nano-Structures and Nano-Objects,1,10.1016/j.nanoso.2025.101558,"Institute of Chemistry, Federal University of Rio Grande do Norte, RN, Natal, 59078-970, Brazil; Instituto Federal de Ciência e Tecnologia do Pará, PA, Óbidos, 68250-000, Brazil; Department of Materials Science and Engineering, Federal University of Rio Grande do Norte, RN, Natal, 59078-970, Brazil; Department of Renewable Energy Engineering, Federal University of Paraíba, PB, João Pessoa, 58051-900, Brazil; Department Physics, Federal University of Rio Grande do Norte, RN, Natal, 59078-970, Brazil",Açai; BET; Euterpe oleracea Mart.; Iron; Magnetism; Mössbauer; OER,,Elsevier B.V.,English,Article,,2352507X,2-s2.0-105017274043
Almeida M.A.,"Almeida, Marcelynne Aranha (60199962800)",60199962800,Non-intervention and Cosmopolitanism in the Construction of Global Citizenship; [Não Intervenção e Cosmopolitismo na Construção da Cidadania Global],2025,Law of Justice Journal,0,10.5335/rjd.v39i1.15556,"Universidade Federal da Paraíba, Brazil",contemporary international law; globalism and multiculturalism; human rights and citizenship; Immanuel Kant,,University of Passo Fundo,Portuguese,Article,All Open Access; Gold Open Access,14137038,2-s2.0-105022195758
Mota H.; De Farias K.E.L.,"Mota, Herondy (35225019700); De Farias, K.E.L. (57218108479)",35225019700; 57218108479,Boundary effects in classical liquid density fluctuations at finite temperature,2025,Physical Review E,1,10.1103/f7ps-v71q,"Departamento de Física, Universidade Federal da Paraíba, Caixa Postal 5008, João Pessoa, Brazil; Departamento de Física, Universidade Federal de Campina Grande, Caixa Postal 10071, Campina Grande, 58429-900, Brazil",,Bulk Density; Density of liquids; Entropy; Free energy; Quantum theory; Temperature; Boundary effects; Classical liquids; Density fluctuation; Entropy density; Finite temperatures; Liquid density; Massless scalar fields; Mean-square; Quantisation; Thermal; article; controlled study; crossing over; density; entropy; heat; high temperature; liquid; low temperature; phonon; quantization; sound; temperature; thermodynamics; velocity; Boundary conditions,American Physical Society,English,Article,,24700045,2-s2.0-105022228887
Barros I.M.S.; Cabral K.C.; Neto J.A.S.; Anjos M.A.S.; Araujo R.A.; Rochas F.L.M.; Nunes G.M.,"Barros, I.M.S. (60478676900); Cabral, K.C. (57212392334); Neto, J.A. Silva (60479862200); Anjos, M.A.S. (51565394700); Araujo, R.A. (57861226200); Rochas, F.L.M. (60479695200); Nunes, G.M. (58553038200)",60478676900; 57212392334; 60479862200; 51565394700; 57861226200; 60479695200; 58553038200,Effect of replacing natural sand with high levels of expanded vermiculite on the thermal and mechanical properties of coating mortars,2025,Materiales de Construccion,0,10.3989/mc.2025.392924,"Federal University of Rio Grande do Norte – UFRN, RN, Natal, Brazil; Federal University of Paraíba – UFPB, PB, João Pessoa, Brazil",Coatings; Expanded vermiculite; Mortars; Thermo-mechanical performance,Aggregates; Compressive strength; Energy efficiency; Lime; Thermal conductivity; Coating mortars; Expanded vermiculite; Mechanical; Natural sand; Performance; Properties of coatings; Property; Thermal; Thermal and mechanical properties; Thermo-mechanical performance; Coatings; Tensile strength,CSIC Consejo Superior de Investigaciones Cientificas,English,Article,All Open Access; Gold Open Access,04652746,2-s2.0-105032501742
da Silva T.A.A.; Bezerra E.L.C.; de Brito Silva M.J.; de Oliveira Campos P.,"da Silva, Tyson Antonio Alves (60162953500); Bezerra, Eduardo Luis Cândido (60162734200); de Brito Silva, Marianny Jessica (57219166117); de Oliveira Campos, Patrícia (57377025900)",60162953500; 60162734200; 57219166117; 57377025900,Reading in the age of influence: an analysis of the impact of BookTokers on book consumption intentions,2025,Social Network Analysis and Mining,1,10.1007/s13278-025-01542-8,"Graduate Program in Management, Innovation, and Consumption (PPGIC), Department of Management, Federal University of Pernambuco (UFPE), PE, Caruaru, Brazil; Graduate Program in Management (PPGA), Department of Management, Federal University of Paraíba (UFPB), PB, João Pessoa, Brazil",Book consumption intention; BookToker; Digital communities; Literature; Theory of planned behavior,Social behavior; Book consumption intention; Booktoke; Digital communities; Literature; Perceived behavioral control; Research models; Subjective norm; Theory of Planned Behavior; User attitudes; User's intentions; Economic and social effects,Springer,English,Article,All Open Access; Hybrid Gold Open Access,18695450,2-s2.0-105020265648
Silva J.F.; Souto I.D.; Sambrano J.R.; Albuquerque A.R.; Maia A.S.,"Silva, Jeronimo F. (58426980000); Souto, Ismael D. (60146377300); Sambrano, Julio Ricardo (55915692000); Albuquerque, Anderson Reis (60016819800); Maia, Ary S. (59808723800)",58426980000; 60146377300; 55915692000; 60016819800; 59808723800,"Exploring Symmetry-Independent Configurations in KTa0.5Nb0.5O3Solid Solutions: A First-Principles, QTAIM, and AIMD Approach",2025,ACS Omega,0,10.1021/acsomega.5c08252,"NPE-LACOM, Federal University of Paraíba, João Pessoa, PB, 58051-900, Brazil; Modeling and Molecular Simulation Group, São Paulo State University, SP, Bauru, 17033-360, Brazil; Institute of Chemistry, Federal University of Rio Grande Do Norte, RN, Natal, 59078-900, Brazil",,,American Chemical Society,English,Article,All Open Access; Gold Open Access; Green Open Access,24701343,2-s2.0-105019066150
de Freitas P.P.; Lopes M.S.; Ferreira N.L.; Peixoto S.V.; Lopes A.C.S.,"de Freitas, Patrícia Pinheiro (56002949100); Lopes, Mariana Souza (55608195300); Ferreira, Nathália Luíza (55293052300); Peixoto, Sérgio Viana (7004020400); Lopes, Aline Cristine Souza (7201958616)",56002949100; 55608195300; 55293052300; 7004020400; 7201958616,Community Food Environment in Brazilian Medium-Sized Municipality After the Ore Dam Break: Database Creation and Diagnosis,2025,International Journal of Environmental Research and Public Health,0,10.3390/ijerph22111723,"Grupo de Pesquisa de Intervenções em Nutrição (GIN/UFMG), Universidade Federal dos Vales do Jequitinhonha e Mucuri, Minas Gerais, Diamantina, 39100-000, Brazil; Grupo de Pesquisa de Intervenções em Nutrição (GIN/UFMG), Universidade Federal da Paraíba, Paraíba, João Pessoa, 58051-900, Brazil; Núcleo de Estudos e Pesquisas em Epidemiologia e Nutrição (NEPEN), Grupo de Pesquisa de Intervenções em Nutrição (GIN/UFMG), Universidade Federal de Lavras, Minas Gerais, Lavras, 37200-900, Brazil; Departamento de Gestão em Saúde, Universidade Federal de Minas Gerais, Minas Gerais, Belo Horizonte, 31270-901, Brazil; Núcleo de Estudos em Saúde Pública e Envelhecimento, Instituto René Rachou, Fiocruz MinasMinas Gerais, Belo Horizonte, 30190-009, Brazil; Grupo de Pesquisa de Intervenções em Nutrição (GIN/UFMG), Universidade Federal de Minas Gerais, Minas Gerais, Belo Horizonte, 30130-100, Brazil",disasters; food environment; food retail; validation studies,"Brazil; Cities; Databases, Factual; Food Supply; Humans; Mining; dam failure; database; disaster management; food availability; food market; food policy; food supply; governance approach; model validation; tailings dam; article; city; clinical audit; community; controlled study; data base; diagnosis; disaster; fish market; food; fruit; government; human; market; mining; restaurant; supermarket; validation study; validity; vegetable; Brazil; catering service; city; factual database",Multidisciplinary Digital Publishing Institute (MDPI),English,Article,All Open Access; Gold Open Access; Green Open Access,16617827,2-s2.0-105022974752
Soares K.O.; Da Rocha T.F.; Hale V.L.; Vasconcelos P.C.; do Nascimento L.J.; da Silva N.M.V.; Rodrigues A.E.; de Oliveira C.J.B.,"Soares, Kilmer Oliveira (57195366755); Da Rocha, Thamara Ferreira (59296497600); Hale, Vanessa L. (56719455700); Vasconcelos, Priscylla Carvalho (57216034613); do Nascimento, Letícia José (59297232200); da Silva, Núbia Michelle Vieira (57213708099); Rodrigues, Adriana Evangelista (15136657100); de Oliveira, Celso José Bruno (58609280600)",57195366755; 59296497600; 56719455700; 57216034613; 59297232200; 57213708099; 15136657100; 58609280600,Comparing the impact of landscape on the gut microbiome of Apis mellifera in Atlantic Forest and Caatinga Biomes,2025,Scientific Reports,6,10.1038/s41598-025-85114-y,"Department of Animal Science, College of Agricultural Sciences (CCA), Federal University of Paraíba (UFPB), Paraiba, Areia, 58397-000, Brazil; Department of Preventive Veterinary Medicine, Ohio State University, Coffey Rd., Columbus, 43210, OH, United States; Postgraduate Program in Animal Science at the Federal Rural University of Pernambuco – UFRPE, Recife, Brazil; National Institute of Semiarid, PB, Campina Grande, Brazil",Apiculture; Bioinformatics; Metagenomics; Microbiology; Molecular biology,"Animals; Bacteria; Bees; Brazil; Ecosystem; Forests; Gastrointestinal Microbiome; RNA, Ribosomal, 16S; RNA 16S; animal; bacterium; bee; Brazil; classification; comparative study; ecosystem; forest; genetics; intestine flora; isolation and purification; microbiology",Nature Research,English,Article,All Open Access; Gold Open Access; Green Open Access,20452322,2-s2.0-85218818645
Abreu E.A.M.; Furtado M.F.; Medeiros E.S.,"Abreu, E.A.M. (16633903700); Furtado, M.F. (8607885100); Medeiros, E.S. (7006477195)",16633903700; 8607885100; 7006477195,On a Hardy-Sobolev Inequality with Remainder Term and its Consequences,2025,Journal of Geometric Analysis,1,10.1007/s12220-025-02235-6,"Departamento de Matemática, Universidade Federal de Minas Gerais, MG, Belo Horizonte, 702-30161-970, Brazil; Departamento de Matemática, Universidade de Brasília, DF, Brasília, 70910-900, Brazil; Departamento de Matemática, Universidade Federal da Paraíba, PB, João Pessoa, 58051-900, Brazil",Hardy-type inequality; Trudinger-Moser inequality; Weighted Sobolev embedding,,Springer,English,Article,,10506926,2-s2.0-105019058403
